Dates,Winner,IND_Runs,NZ_Runs
01/18/14,0,268,292
01/21/14,0,277,271
01/24/14,0.5,314,314
01/27/14,0,280,278
01/30/14,0,216,303
02/05/14,0,202,503
02/09/14,0,366,105
02/13/14,0.5,438,192
02/18/14,0.5,166,680
03/15/16,0,79,126
09/22/16,1,318,262
09/26/16,1,377,236
09/30/16,1,316,204
10/03/16,1,263,197
10/08/16,1,557,299
10/11/16,1,216,153
10/16/16,1,194,190
10/20/16,0,236,242
10/23/16,1,289,285
10/26/16,0,241,260
10/29/16,1,269,79
05/28/17,1,129,189
10/22/17,0,280,284
10/25/17,1,232,230
10/29/17,1,337,331
11/01/17,1,202,149
11/04/17,0,156,196
11/07/17,1,67,61
01/22/19,1,156,157
01/25/19,1,324,234
01/27/19,1,245,243
01/30/19,0,92,93
02/02/19,1,252,217
02/06/19,0,139,219
02/08/19,1,162,158
02/10/19,0,208,212
05/25/19,0,179,180
07/09/19,0,221,239
01/24/20,1,204,203
01/26/20,1,135,132
02/02/20,1,163,156
02/04/20,0,347,348
02/07/20,0,251,273
02/10/20,0,296,300
02/20/20,0,165,348
02/24/20,0,191,9
02/28/20,0,242,235
03/02/20,0,124,132
06/18/21,0,217,249
06/23/21,0,170,140
10/31/21,0,110,111
11/17/21,1,166,164
11/19/21,1,155,153
11/21/21,1,184,111
11/24/21,0.5,345,296
11/29/21,0.5,234,165
12/02/21,1,325,62
12/07/21,1,276,167
