Dates,IND_Wickets
01/18/14,10
01/21/14,9
01/24/14,9
01/27/14,5
01/30/14,5
02/05/14,10
02/09/14,10
02/13/14,10
02/18/14,10
03/15/16,10
09/22/16,10
09/26/16,5
09/30/16,10
10/03/16,10
10/08/16,5
10/11/16,3
10/16/16,4
10/20/16,10
10/23/16,3
10/26/16,10
10/29/16,6
05/28/17,3
10/22/17,8
10/25/17,4
10/29/17,6
11/01/17,3
11/04/17,7
11/07/17,5
01/22/19,2
01/25/19,4
01/27/19,3
01/30/19,10
02/02/19,10
02/06/19,10
02/08/19,3
02/10/19,6
05/25/19,10
07/9/19,10
01/24/20,4
01/26/20,3
02/02/20,3
02/04/20,4
02/07/20,10
02/10/20,5
02/20/20,10
02/24/20,10
02/28/20,10
03/02/20,10
06/18/21,10
06/23/21,10
10/31/21,7
11/17/21,5
11/19/21,3
11/21/21,7
11/24/21,10
11/29/21,7
12/02/21,10
12/07/21,7
